ACC X [m/s^2],ACC Y [m/s^2],ACC Z [m/s^2],GYRO X [rad/s],GYRO Y [rad/s],GYRO Z [rad/s],DVL X [m/s],DVL Y [m/s],DVL Z [m/s]
-0.000948,-0.001532,-0.097885,4.00E-05,-1.50E-05,0.000168,1.510781068,-0.073640898,-0.019976992
-0.001242,-0.001372,-0.097659,-5.30E-05,-1.10E-05,0.000143,1.501620935,-0.084577416,0.0035477
-0.001236,-0.00121,-0.097734,-1.10E-05,9.00E-06,0.000136,1.494859588,-0.11787379,0.017878323
-0.001065,-0.001205,-0.097956,1.60E-05,3.20E-05,0.000152,1.497339123,-0.146010634,0.00970752
-0.000672,-0.001113,-0.098162,5.40E-05,3.70E-05,0.000179,1.506145335,-0.164687259,-0.014829832
-0.00043,-0.001635,-0.098243,4.90E-05,1.60E-05,0.000195,1.508010654,-0.145172514,-0.035266296
-0.00044,-0.00166,-0.09801,6.00E-06,-1.00E-05,0.000183,1.517127519,-0.121232271,-0.032243153
-0.000711,-0.001626,-0.097748,-3.30E-05,-2.20E-05,0.000159,1.511341292,-0.114076329,-0.012820116
-0.000906,-0.001239,-0.097777,-3.40E-05,-1.60E-05,0.000138,1.500895283,-0.138026965,0.011733956
-0.000957,-0.00128,-0.097701,-3.90E-05,1.10E-05,0.000147,1.499139946,-0.169099291,0.020940051
-0.00075,-0.00103,-0.098006,4.90E-05,3.20E-05,0.000166,1.497335097,-0.203066012,0.007680956
-0.000444,-0.001173,-0.098193,1.80E-05,2.90E-05,0.000189,1.495726072,-0.194424603,-0.010697442
-0.000134,-0.001469,-0.098159,3.10E-05,1.40E-05,0.000191,1.50126397,-0.178474353,-0.023998749
-0.000192,-0.001506,-0.09793,1.00E-05,-1.00E-05,0.000175,1.506877508,-0.162517181,-0.016875197
-0.000327,-0.001694,-0.097844,-3.60E-05,-1.60E-05,0.000152,1.496255798,-0.174918453,-0.001513652
-0.000536,-0.001264,-0.097819,-4.30E-05,-5.00E-06,0.000144,1.497234395,-0.192960754,0.006657595
-0.000513,-0.001144,-0.097927,-2.00E-06,9.00E-06,0.000148,1.500439332,-0.218921056,0.006652524
-0.000455,-0.001111,-0.098039,4.00E-05,1.50E-05,0.00016,1.493921246,-0.219726394,-0.004556743
-0.000274,-0.001637,-0.098006,1.70E-05,1.30E-05,0.000162,1.498960405,-0.218946443,-0.008660998
-0.000238,-0.001404,-0.09796,7.00E-06,9.00E-06,0.000163,1.490893737,-0.206765058,-0.004548825
-0.000212,-0.001571,-0.097902,-9.00E-06,-1.00E-06,0.000155,1.490941274,-0.209653243,-0.001484202
-0.000332,-0.001221,-0.098013,-2.40E-05,-9.00E-06,0.000147,1.489717944,-0.227003362,-0.002495899
-0.000311,-0.001336,-0.097988,8.00E-06,-1.00E-06,0.000152,1.486879796,-0.232815709,-0.006568646
-0.000361,-0.001313,-0.097969,1.50E-05,9.00E-06,0.000154,1.496429399,-0.246424324,-0.008644014
-0.000276,-0.001571,-0.097951,1.60E-05,7.00E-06,0.000158,1.494937972,-0.240665413,-0.005575922
-0.000258,-0.001463,-0.097912,-2.00E-05,-1.00E-06,0.000153,1.48627832,-0.237882648,-0.000437962
-0.000376,-0.001445,-0.097811,-2.00E-05,-2.00E-06,0.000155,1.480063734,-0.260344669,0.003677594
-0.000324,-0.001516,-0.097892,3.70E-05,4.00E-06,0.000161,1.492380764,-0.265254657,-0.001474592
-0.000255,-0.001268,-0.098009,-2.60E-05,1.10E-05,0.00016,1.482267316,-0.266822676,-0.008585056
-0.000219,-0.001609,-0.09802,3.00E-05,1.00E-06,0.000154,1.49154373,-0.257326302,-0.011686651
-0.000252,-0.001603,-0.097856,1.00E-06,-5.00E-06,0.000149,1.481578244,-0.266109191,-0.000411591
-0.000256,-0.001637,-0.097855,-2.00E-05,-2.00E-06,0.000146,1.487458774,-0.273260125,0.003653183
-0.00037,-0.001469,-0.097874,-5.10E-05,3.00E-06,0.00014,1.479674626,-0.284189736,0.006749535
-0.000334,-0.001419,-0.098031,1.60E-05,1.10E-05,0.000144,1.475394443,-0.288576271,0.004723858
-0.000245,-0.001682,-0.09796,4.60E-05,1.20E-05,0.000153,1.474650136,-0.289312542,-0.006507215
-8.80E-05,-0.001967,-0.097973,2.30E-05,6.00E-06,0.000151,1.480432454,-0.29068808,-0.009592684
-0.000145,-0.001765,-0.097872,-1.80E-05,-5.00E-06,0.000144,1.474660767,-0.289314537,-0.006507254
-0.000245,-0.001599,-0.097913,-4.30E-05,-5.00E-06,0.000136,1.488416398,-0.289871324,-0.000430966
-0.000307,-0.001548,-0.097924,-7.00E-06,1.00E-06,0.000131,1.481294388,-0.298623669,-0.001423731
-0.000314,-0.001403,-0.09796,-4.00E-06,5.00E-06,0.00014,1.474220051,-0.311710072,-0.004457518
-0.000187,-0.001452,-0.097999,4.50E-05,-8.82E-21,0.000144,1.474198617,-0.31026748,-0.006499842
-0.000355,-0.001849,-0.097928,7.00E-06,-6.00E-06,0.000148,1.469837796,-0.305984096,-0.000356502
-0.000319,-0.001737,-0.097945,1.30E-05,-3.00E-06,0.000141,1.47577974,-0.318913646,0.001666589
-0.000394,-0.001724,-0.098061,-1.50E-05,1.00E-06,0.000137,1.470698505,-0.31681028,-0.000356821
-0.000384,-0.001741,-0.098062,1.30E-05,4.00E-06,0.000139,1.477401609,-0.334791799,-0.007527301
-0.000348,-0.001512,-0.097974,-2.10E-05,3.00E-06,0.000147,1.472325419,-0.335577078,-0.015678993
-0.000453,-0.001427,-0.097927,2.90E-05,-1.00E-06,0.000153,1.473073888,-0.336290149,-0.012617602
-0.000546,-0.001865,-0.097856,2.00E-05,-1.20E-05,0.000151,1.466517921,-0.329866293,-0.006465558
-0.000664,-0.001918,-0.09783,-1.90E-05,-1.30E-05,0.000143,1.457606418,-0.344443796,-0.117757784
-0.000521,0.001827,-0.100298,8.70E-05,-0.000401,0.000194,1.565828938,-0.453706348,-0.310158969
-0.009116,-0.011416,-0.09575,-0.000121,-0.001135,0.000532,1.58954928,-0.680938064,-0.295887901
-0.019079,0.00879,-0.09178,-0.001478,-0.000569,0.001351,1.574784004,-0.841429585,-0.127260562
-0.019908,0.003275,-0.095957,0.00256,-7.40E-05,0.001546,1.647761453,-0.658540978,-0.116351333
-0.02203,-0.005194,-0.094417,-0.000279,-0.000234,0.000748,1.771035588,-0.453379649,-0.104614912
-0.024046,-0.003236,-0.094085,-0.000113,-0.000141,4.00E-06,1.904787506,-0.339817212,-0.087785211
