Time [s],ACC X [m/s^2],ACC Y [m/s^2],ACC Z [m/s^2],GYRO X [rad/s],GYRO Y [rad/s],GYRO Z [rad/s]
11:35:13.058,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.068,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.078,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.088,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.098,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.108,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.118,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.128,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.138,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.148,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.158,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.168,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.178,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.188,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.198,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.208,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.218,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.228,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.238,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.248,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.258,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.268,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.278,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.288,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.298,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.308,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.318,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.328,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.338,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.348,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.358,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.368,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.378,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.388,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.398,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.408,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.418,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.428,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.438,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.448,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.458,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.468,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.478,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.488,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.498,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.508,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
